DATE	VISITING TEAM	HOME TEAM	TIME	NETWORK/RESULT
Sun Oct 19, 2014	San Jose	NY Rangers	5:00 PM ET	TVA Sports,CSN-CA
Sun Oct 19, 2014	Calgary	Winnipeg	7:00 PM ET	CITY TV
Sun Oct 19, 2014	St. Louis	Anaheim	8:00 PM ET	
Mon Oct 20, 2014	Tampa Bay	Edmonton	9:30 PM ET	TVA Sports,SUN,SNW
Tue Oct 21, 2014	San Jose	Boston	7:00 PM ET	TVA Sports,CSN-CA,NESN
Tue Oct 21, 2014	NY Rangers	New Jersey	7:00 PM ET	
Tue Oct 21, 2014	Toronto	NY Islanders	7:00 PM ET	TSN4
Tue Oct 21, 2014	Detroit	Montréal	7:30 PM ET	FS-D,RDS,SNE
Tue Oct 21, 2014	Arizona	Nashville	8:00 PM ET	FS-A
Tue Oct 21, 2014	Carolina	Winnipeg	8:00 PM ET	TSN3
Tue Oct 21, 2014	Philadelphia	Chicago	8:30 PM ET	NBCSN,CSN-PH,CSN-CH
Tue Oct 21, 2014	Vancouver	Dallas	8:30 PM ET	SNP
Tue Oct 21, 2014	Florida	Colorado	9:00 PM ET	FS-F,ALT
Tue Oct 21, 2014	Tampa Bay	Calgary	9:00 PM ET	SUN,SNW
Wed Oct 22, 2014	Toronto	Ottawa	7:00 PM ET	TVA Sports,SN360,SN1
Wed Oct 22, 2014	Philadelphia	Pittsburgh	8:00 PM ET	NBCSN,TVA Sports 2
Wed Oct 22, 2014	Washington	Edmonton	9:30 PM ET	SN360,SN1,CSN-DC
Wed Oct 22, 2014	Buffalo	Anaheim	10:30 PM ET	
Thu Oct 23, 2014	NY Islanders	Boston	7:00 PM ET	NESN
Thu Oct 23, 2014	Pittsburgh	Detroit	7:30 PM ET	SN360,TVA Sports 2,ROOT,FS-D
Thu Oct 23, 2014	Vancouver	St. Louis	8:00 PM ET	NHLN-US,SNV
Thu Oct 23, 2014	Chicago	Nashville	8:00 PM ET	CSN-CH
Thu Oct 23, 2014	Arizona	Minnesota	8:00 PM ET	FS-A,FS-N
Thu Oct 23, 2014	Carolina	Calgary	9:00 PM ET	SNF
Thu Oct 23, 2014	Buffalo	Los Angeles	10:30 PM ET	
Thu Oct 23, 2014	Columbus	San Jose	10:30 PM ET	FS-O,CSN-CA
Fri Oct 24, 2014	Dallas	New Jersey	7:00 PM ET	
Fri Oct 24, 2014	Tampa Bay	Winnipeg	8:00 PM ET	SUN,TSN3
Fri Oct 24, 2014	Vancouver	Colorado	9:00 PM ET	SNE,SNO,SNP,TVA Sports 2,ALT
Fri Oct 24, 2014	Carolina	Edmonton	9:30 PM ET	SNW
Fri Oct 24, 2014	Columbus	Anaheim	10:00 PM ET	FS-O
Sat Oct 25, 2014	Buffalo	San Jose	4:00 PM ET	CSN-CA
Sat Oct 25, 2014	Boston	Toronto	7:00 PM ET	CBC,NHLN-US,NESN
Sat Oct 25, 2014	NY Rangers	Montréal	7:00 PM ET	CITY TV,TVA Sports
Sat Oct 25, 2014	New Jersey	Ottawa	7:00 PM ET	SN1
Sat Oct 25, 2014	Dallas	NY Islanders	7:00 PM ET	
Sat Oct 25, 2014	Detroit	Philadelphia	7:00 PM ET	SN360,FS-D,CSN-PH
Sat Oct 25, 2014	Chicago	St. Louis	8:00 PM ET	FX-CA,WGN
Sat Oct 25, 2014	Pittsburgh	Nashville	8:00 PM ET	ROOT
Sat Oct 25, 2014	Tampa Bay	Minnesota	8:00 PM ET	SUN,FS-N
Sat Oct 25, 2014	Florida	Arizona	9:00 PM ET	FS-F,FS-A
Sat Oct 25, 2014	Washington	Calgary	10:00 PM ET	CBC,TVA Sports 2,CSN-DC
Sun Oct 26, 2014	Colorado	Winnipeg	3:00 PM ET	ALT,TSN3
Sun Oct 26, 2014	Columbus	Los Angeles	4:00 PM ET	FS-O
Sun Oct 26, 2014	Ottawa	Chicago	7:00 PM ET	NHLN-US,CITY TV,TVA Sports,WGN
Sun Oct 26, 2014	San Jose	Anaheim	8:00 PM ET	CSN-CA
Sun Oct 26, 2014	Washington	Vancouver	10:00 PM ET	CSN-DC,SNV
Mon Oct 27, 2014	Minnesota	NY Rangers	7:00 PM ET	TVA Sports,FS-N
Mon Oct 27, 2014	Montréal	Edmonton	9:30 PM ET	SN1,RDS
Tue Oct 28, 2014	Minnesota	Boston	7:00 PM ET	NBCSN,NESN
Tue Oct 28, 2014	Winnipeg	NY Islanders	7:00 PM ET	TSN3
Tue Oct 28, 2014	Los Angeles	Philadelphia	7:00 PM ET	TVA Sports,CSN-PH
Tue Oct 28, 2014	New Jersey	Pittsburgh	7:00 PM ET	ROOT
Tue Oct 28, 2014	Ottawa	Columbus	7:00 PM ET	RDS2,TSN5,FS-O
Tue Oct 28, 2014	Buffalo	Toronto	7:30 PM ET	TSN4
Tue Oct 28, 2014	Arizona	Tampa Bay	7:30 PM ET	FS-A,SUN
Tue Oct 28, 2014	Anaheim	Chicago	8:30 PM ET	CSN-CH
Tue Oct 28, 2014	St. Louis	Dallas	8:30 PM ET	
Tue Oct 28, 2014	San Jose	Colorado	9:00 PM ET	CSN-CA,ALT
Tue Oct 28, 2014	Montréal	Calgary	9:00 PM ET	RDS,SNE,SNW
Tue Oct 28, 2014	Carolina	Vancouver	10:00 PM ET	SNP
Wed Oct 29, 2014	Detroit	Washington	7:30 PM ET	NBCSN,TVA Sports,SN1
